Keyword;Nama Bisnis;Kategori;Rating;Jumlah Ulasan;Nomor Telepon;Punya Website?;Link Website;Alamat;Link Google Maps
klinik;Klinik Pratama Kodim;Klinik Medis;5;95;;Tidak;;HMQC+6WC, Jl. Candi Prambanan, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20231;https://www.google.com/maps/place/Klinik+Pratama+Kodim/data=!4m7!3m6!1s0x303131cfcb299a81:0xe9b4d316ecf097af!8m2!3d3.5880679!4d98.6722797!16s%2Fg%2F11gcdd461g!19sChIJgZopy88xMTARr5fw7BbTtOk?authuser=0&hl=id&rclk=1
klinik;Klinik Mindamora - Melayani Dengan Hati;Klinik Medis;5;30;0812-2770-7766;Tidak;;Jl. Sentosa Lama No.35, Sei Kera Hulu, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20222;https://www.google.com/maps/place/Klinik+Mindamora+-+Melayani+Dengan+Hati/data=!4m7!3m6!1s0x3031311f32fde615:0x22860073eaddf3aa!8m2!3d3.596538!4d98.7006773!16s%2Fg%2F11qhqv_qlv!19sChIJFeb9Mh8xMTARqvPd6nMAhiI?authuser=0&hl=id&rclk=1
klinik;Klinik Pratama Nusantara Kesehatan;Klinik Medis;5;125;0852-6248-4184;Tidak;;Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20118;https://www.google.com/maps/place/Klinik+Pratama+Nusantara+Kesehatan/data=!4m7!3m6!1s0x30312e3dd836688b:0x28e2d3fbff9964fb!8m2!3d3.5989824!4d98.6437215!16s%2Fg%2F11f1mx5bxx!19sChIJi2g22D0uMTAR-2SZ__vT4ig?authuser=0&hl=id&rclk=1
optik;OPTIK VENEL OPTIK MEDAN - GROSIR & ECERAN (Jl. Cirebon 25/67);Grosir;5;1065;0852-6267-8000;Tidak;;Jl. Cirebon No.25/67, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212;https://www.google.com/maps/place/OPTIK+VENEL+OPTIK+MEDAN+-+GROSIR+%26+ECERAN+%28Jl.+Cirebon+25%2F67%29/data=!4m7!3m6!1s0x303131b5dd512821:0x619b962ab3da4886!8m2!3d3.5840192!4d98.6839944!16s%2Fg%2F11c0rs8lfp!19sChIJIShR3bUxMTARhkjasyqWm2E?authuser=0&hl=id&rclk=1
optik;Optik B Riski Halat Medan;Toko Optik;5;33;0851-1989-5699;Tidak;;Jl. Halat No.44, Ps. Merah Tim., Kec. Medan Area, Kota Medan, Sumatera Utara 20216;https://www.google.com/maps/place/Optik+B+Riski+Halat+Medan/data=!4m7!3m6!1s0x303131000bb7ec37:0x8edf0359be119255!8m2!3d3.5721239!4d98.7024949!16s%2Fg%2F11xyprxjmf!19sChIJN-y3CwAxMTARVZIRvlkD344?authuser=0&hl=id&rclk=1
optik;Optik Tunggal Sun Plaza Medan;Toko Optik;5;120;0811-8109-508;Tidak;;Jalan KH. Zainul Arifin No.7, Blok C No.37-38 Lantai 2, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20152;https://www.google.com/maps/place/Optik+Tunggal+Sun+Plaza+Medan/data=!4m7!3m6!1s0x3031318c9febbac1:0x849f4d48e6e4ef20!8m2!3d3.5829736!4d98.6716978!16s%2Fg%2F11h22y_tcj!19sChIJwbrrn4wxMTARIO_k5khNn4Q?authuser=0&hl=id&rclk=1
optik;Metro Optik;Toko Optik;5;215;0852-6144-0208;Tidak;;Jl. Kirana Raya No.36, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112;https://www.google.com/maps/place/Metro+Optik/data=!4m7!3m6!1s0x303131d7702609d7:0x246193eb18fe6126!8m2!3d3.5899192!4d98.6633807!16s%2Fg%2F1hm654m6d!19sChIJ1wkmcNcxMTARJmH-GOuTYSQ?authuser=0&hl=id&rclk=1
optik;Optik B Riski Medan Perjuangan;Ahli Kacamata;5;2;0851-2926-6315;Tidak;;Jl. Prof. H. M. Yamin No.316, Sei Kera Hilir II, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20222;https://www.google.com/maps/place/Optik+B+Riski+Medan+Perjuangan/data=!4m7!3m6!1s0x303131000ede068d:0xc505476eaf589fb2!8m2!3d3.5982215!4d98.695165!16s%2Fg%2F11xct4rf2s!19sChIJjQbeDgAxMTARsp9Yr25HBcU?authuser=0&hl=id&rclk=1
optik;Optik Tunggal Centre Point Mall Medan;Toko Optik;5;33;0811-8109-510;Tidak;;Jln. Jawa Kel, Buntu No.30 Lantai UG, Gg. Buntu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20231;https://www.google.com/maps/place/Optik+Tunggal+Centre+Point+Mall+Medan/data=!4m7!3m6!1s0x303131c45555555f:0x3e3a3b6bea9e7694!8m2!3d3.5919146!4d98.6810834!16s%2Fg%2F1pzxxmb69!19sChIJX1VVVcQxMTARlHae6ms7Oj4?authuser=0&hl=id&rclk=1
optik;YZ OPTIK (elva kacamata);Toko Optik;5;20;0813-7533-0623;Tidak;;Jl. Arief Rahman Hakim, Tegal Sari II, Kec. Medan Area, Kota Medan, Sumatera Utara 20236;https://www.google.com/maps/place/YZ+OPTIK+%28elva+kacamata%29/data=!4m7!3m6!1s0x303131cf3d1fe32d:0x6b781a8370f87389!8m2!3d3.5747799!4d98.7035988!16s%2Fg%2F11s8fm10m2!19sChIJLeMfPc8xMTARiXP4cIMaeGs?authuser=0&hl=id&rclk=1
optik;Optik Krakatau Mas Katamso;Toko Optik;5;24;0821-2888-7997;Tidak;;Jl. Brigjend Katamso No.731, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20158;https://www.google.com/maps/place/Optik+Krakatau+Mas+Katamso/data=!4m7!3m6!1s0x3031310018daf421:0x75ef9e05ebfcd87c!8m2!3d3.5512954!4d98.6887019!16s%2Fg%2F11xdfwn83g!19sChIJIfTaGAAxMTARfNj86wWe73U?authuser=0&hl=id&rclk=1
optik;Eyebox Optik Medan;Ahli Kacamata;5;11;0812-6449-890;Tidak;;HPF7+RQJ, Binjai, Kec. Medan Denai, Kota Medan, Sumatera Utara 20227;https://www.google.com/maps/place/Eyebox+Optik+Medan/data=!4m7!3m6!1s0x303131003851a907:0x671f6f075084e927!8m2!3d3.5746398!4d98.7143499!16s%2Fg%2F11vyzs76n_!19sChIJB6lROAAxMTARJ-mEUAdvH2c?authuser=0&hl=id&rclk=1
optik;Optik i-ONE;Toko Optik;5;6;0822-8000-3210;Tidak;;Jl. Denai No.40B, Tegal Sari Mandala III, Kec. Medan Denai, Kota Medan, Sumatera Utara 20227;https://www.google.com/maps/place/Optik+i-ONE/data=!4m7!3m6!1s0x303131323f80cfa3:0xdf19adb6ef12d820!8m2!3d3.5817678!4d98.7099666!16s%2Fg%2F11r3kz2ymy!19sChIJo8-APzIxMTARINgS77atGd8?authuser=0&hl=id&rclk=1
restoran;Almaz Fried Chicken - Medan;Restoran Hidangan Ayam;4,9;3325;;Tidak;;Jl. H. Adam Malik No.24, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20114;https://www.google.com/maps/place/Almaz+Fried+Chicken+-+Medan/data=!4m7!3m6!1s0x303131003de366d5:0x9080b87299f90b1e!8m2!3d3.5968502!4d98.669321!16s%2Fg%2F11m62101rw!19sChIJ1WbjPQAxMTARHgv5mXK4gJA?authuser=0&hl=id&rclk=1
